reference,date,position,navArea,subreg,hostility,victim,description,
2022-91,2022-03-09,"46°56'48.17""N
32°00'11.06""E",III,55,Military activity,Liberia-flagged bulk carrier STAR PAVLINA,"UKRAINE: (Late Reporting) Prior to 9 March, crew members were evacuated from the Liberia-flagged bulk carrier STAR PAVLINA berthed at the port of Nikolayev. According to press reports, the evacuation was facilitated by multiple embassies in coordination with Ukrainian port authorities. The seafarers were transported to their respective consular offices for repatriation.",
2022-90,2022-03-09,"46°37'17.76""N
31°01'27.12""E",III,55,Military activity,Marshall Islands-flagged bulk carrier GLOBAL AGLAI,"UKRAINE: (Late Reporting) Prior to 9 March, crew members were evacuated from the Marshall Islands-flagged bulk carrier GLOBAL AGLAIA berthed in the port of Yuzhnyi. According to press reports, the evacuation was facilitated by multiple embassies in coordination with Ukrainian port authorities. The seafarers were transported to their respective consular offices for repatriation.",
2022-89,2022-03-09,"46°30'14.76""N
30°43'54.48""E",III,55,Military activity,Hong Kong-flagged container ship JOSEPH SCHULTE,"UKRAINE: (Late Reporting) Prior to 9 March, crew members were evacuated from the Hong Kong-flagged container ship JOSEPH SCHULTE berthed at the Brooklyn-Kyiv container terminal. According to press reports, the evacuation was facilitated by multiple embassies in coordination with Ukrainian port authorities. The seafarers were transported to their respective consular offices for repatriation.",
2022-88,2022-03-09,"45°15'00""N
30°12'00""E",III,55,Military activity,Ukraine-flagged seagoing tug SAPFIR,"UKRAINE: (Update) On 9 March, the Russian Navy reportedly moved the Ukraine-flagged seagoing tug SAPFIR to Sevastopol. This follows its seizure by the Russians on 26 February in the vicinity of Snake Island, near position 45-15N 030-12E.",
2022-77,2022-03-08,"46°37'00""N
31°01'00""E",III,55,Military Activity,Four bulk carriers,"UKRAINE: On 8 March, a total of 40 crew members of four bulk carriers berthed at the port of Yuzhnyi, near position 46-37N 031-01E were evacuated. The four bulk carriers involved were: the Greece-flagged MARAN ASTRONOMER, the Malta-flagged MARAN EXCELLENCE, the Panama-flagged NORD VIRGO, and the Marshall Islands-flagged OCEAN COURTESY. According to press reports, Ukrainian border guards facilitated the evacuation of the crew members from the four vessels and were transported to their respective consular offices for repatriation.",
2022-92,2022-03-06,"46°18'55.8""N
30°40'15.6""E",III,55,Military activity,Three bulk carriers,"UKRAINE: (Late Reporting) Between 27 February and 6 March, crew members were evacuated from three bulk carriers berthed at the port of Illichivsk. The three bulk carriers were: Liberia-flagged S BREEZE and KEY KNIGHT, and the Marshall Islands-flagged STAR HELENA. According to press reports, multiple embassies, ship owners and ship operators coordinated with Ukrainian port authorities to facilitate the evacuations. The seafarers were transported to their respective consular offices for repatriation.",
2022-87,2022-03-05,"18°19'06.14""N
64°47'31.09""W",IV,25,Vessel stolen,United States-flagged sailing vessel BLUE ROSE,"US VIRGIN ISLANDS: On 5 March, at 0000 local time, the United States-flagged sailing vessel BLUE ROSE was stolen while berthed at St. John, Great Cruz Bay. The sailing vessel was unmanned and unlocked when it was stolen from the port. The incident was reported to the local authorities and a coordinated search is being conducted. The owner of the vessel has offered a reward of $25,000 (USD) for information leading to recovery.",
2022-80,2022-03-04,"1°15'00""N
104°04'00""E",XI,71,Boarding,India-flagged bulk carrier MAHA JACQUELINE,"INDONESIA: On 4 March, at 0025 local time, five unauthorized personnel were sighted in the accommodation deck of the India-flagged bulk carrier MAHA JACQUELINE underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme (TSS), near position 01-15N 104-04E. After being detected, the five perpetrators escaped empty-handed. The incident was reported to the local authorities. The ship and all crew were reported safe, and the vessel continued her voyage.",
2022-79,2022-03-03,"46°22'00""N
31°04'00""E",III,55,Military activity,Panama-flagged general cargo ship HELT,"UKRAINE: (Update) On 3 March, the Panama-flagged general cargo ship HELT sunk 23 NM southeast of Odessa, near position near 46-22N 031-04E. According to press reports, the ship struck a mine that caused a hole below the hull waterline and sunk bow first. It was first reported that two crew members were seen onboard the lifeboat and four were missing. Later press reports state that all of the six crew members were rescued and safe. Previous reports indicate that the ship was intercepted and reportedly used as a shield by the Russian Navy while underway to the port of Chornomorsk.",
2022-78,2022-03-03,"46°40'40.8""N
31°55'30""E",III,55,Military activity,Bangladesh-flagged bulk carrier BANGLAR SAMRIDDHI,"UKRAINE: (Update) On 3 March, the Bangladesh-flagged bulk carrier BANGLAR SAMRIDDHI was abandoned at Olvia Anchorage, Mykolaiv port area. Missiles struck the ship on 2 March, which caused a fire onboard and inflicted serious damage to the vessel’s bridge and accommodations. One of the 29 crew members died during the attack. The remaining 28 crew members abandoned ship and were ferried from the anchorage area to a safer location. According to the latest press reports on 6 March, the 28 crew members made it to Romania and their repatriation to Bangladesh was being arranged by the Bangladesh embassy in Bucharest.",
2022-64,2022-03-02,"1°15'00""N
104°04'00""E",XI,71,Boarding,Malta-flagged bulk carrier FLECHA,"INDONESIA: On 2 March, at 0210 local time, three unauthorized personnel armed with an axe and an iron bar boarded the Malta-flagged bulk carrier FLECHA underway in the eastbound lane of the Singapore Strait TSS, near position 01-15N 104-04E. The three robbers were sighted in the emergency generator room and immediately escaped. Reports indicate that the ship and all crew were safe and nothing was stolen.",
2022-63,2022-03-02,"1°14'00""N
104°03'00""E",XI,71,Boarding,Panama-flagged bulk carrier PENTA,"INDONESIA: On 2 March, at 0230 local time, four robbers armed with an axe and an iron bar boarded the underway Panama-flagged bulk carrier PENTA in the eastbound lane of the Singapore Strait TSS, near position 01-14N 104-03E. The four perpetrators were spotted in the engine room. After the alarm was raised, the crew mustered and searched the vessel. Following the incident, the ship returned to Singapore for further search and investigation. The Singaporean authorities later reported that the perpetrators were no longer onboard and nothing was stolen. The ship and all crew were reported safe, and the vessel continued her voyage.",
2022-62,2022-03-02,"1°14'00""N
104°00'00""E",XI,71,Boarding,Panama-flagged tanker DAISY 2,"INDONESIA: On 2 March, at 0530 local time, six unauthorized personnel boarded the Panama-flagged tanker DAISY 2 while underway in the eastbound lane of the Singapore Strait Traffic Separation Scheme (TSS), near position 01-14N 104-00E. The six perpetrators were spotted in the engine room. Subsequently, the alarm was raised, the crew mustered and they searched the vessel. It was reported that the ship and all crew were safe and nothing was stolen.",
2022-70,2022-03-02,"46°02'50.53""N
30°43'02.57""E",III,55,Military activity,Panama-flagged general cargo ship HELT,"UKRAINE: On 2 March, the Panama-flagged general cargo ship HELT according to press reports, was intercepted and used as a shield by the Russian Navy while underway to the port of Chornomorsk, Ukraine. The vessel is reported to have sank off Odessa on 3 March.",
2022-69,2022-03-02,"46°40'42.68""N
31°55'38.1""E",III,55,Military activity,Bangladesh-flagged bulk carrier BANGLAR SAMRIDDHI,"UKRAINE: On 2 March, at 1725 local time, the Bangladesh-flagged bulk carrier BANGLAR SAMRIDDHI was struck by a missile while anchored at Olvia Anchorage, Mykolaiv port area. The ship’s superstructure caught fire as a result of the missile strike. Two rescue tugs responded and assisted the vessel. One of the 29 crew members reportedly died during the attack. The local authorities were helping to move the vessel to a safer location.",
2022-65,2022-02-28,"1°02'00""N
103°38'00""E",XI,71,,Bahamas-flagged bulk carrier AFRICAN MERLIN,"INDONESIA: On 28 February, at 0435 local time, three robbers armed with knives boarded the Bahamas-flagged bulk carrier AFRICAN MERLIN underway in the eastbound lane of the Singapore Strait TSS, near position 01-02N 103-38E. The three perpetrators were sighted on the main deck. After the alarm was raised, the crew mustered and searched the vessel. The robbers escaped with stolen engine spare parts. The incident was reported to the local authorities.",
2022-61,2022-02-28,"12°01'00""S
77°11'00""W",XVI,22,,Marshall Islands-flagged bulk carrier STH OSLO,"PERU: On 28 January, at 0210 local time, seven robbers armed with guns and knives boarded the Marshall Islands-flagged bulk carrier STH OSLO anchored at Callao Anchorage, near position 12-01S 077-11W. One of the duty crew was doing his rounds when the robbers subdued and restrained him. The duty officer, after receiving no response from the roving crew on the radio, sent another duty crew to check. The duty crew raised the alarm upon discovering the robbers, after which the crew mustered and searched the ship. The robbers escaped with stolen ship’s stores. The incident was reported to the local authorities, who subsequently conducted an investigation.",
2022-81,2022-02-27,"3°60'00""S
105°58'00""E",XI,71,Threatening the crew at gunpoint,Indonesia-flagged fishing vessel KM MULYA JAYA RC,"INDONESIA: On 27 January, at 1433 local time, one perpetrator armed with two handguns boarded the underway Indonesia-flagged fishing vessel KM MULYA JAYA RC in the waters of Sungai Pinang District, South Sumatra, near position 04-00S 105-58E. After threatening the crew at gunpoint, the robber accidentally slipped and fell overboard. The captain contacted the local police who responded and arrested the perpetrator.",
2022-71,2022-02-27,"45°15'24.43""N
30°11'28.95""E",III,55,Military activity,Ukraine-flagged seagoing tug SAPFIR,"UKRAINE: On 27 February, at 0200 local time, the Ukraine-flagged seagoing tug SAPFIR was intercepted and detained by the Russian Navy in the vicinity of Snake Island. The condition of the vessel and crew after the detention were unknown.",
2022-66,2022-02-26,"1°03'00""N
103°41'00""E",XI,71,,Panama-flagged bulk carrier ROYAL JADE,"INDONESIA: On 26 February, at 0240 local time, five unauthorized personnel were discovered on the stern deck of the Panama-flagged bulk carrier ROYAL JADE underway in the eastbound lane of the Singapore TSS, near position 01-03N 103-41E. The alarm was raised and the crew mustered. After hearing the alarm, the five robbers escaped into a small boat. A set of welding equipment was reported stolen. The incident was reported to the local authorities. The ship and all the crew were reported safe and did not require any assistance.",
